Title,Latitude,Longitude,"Company Size","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Includes Scopes,","Source (URL)","Source (Text)","Climate Ambition Alliance","Published Net Zero Plan","Reporting Initiatives"
Adobe,37.33820000,-121.88630000,"$9,030,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/CDPProgrammeResponse2018.pdf,PR,No,Yes,"CDP, SBTi"
Bayer,51.04590000,7.01920000,"$46,718,000,000",2030,"In Policy Document",Yes,No,Yes,No,https://media.bayer.com/baynews/baynews.nsf/id/Bayer-to-significantly-step-up-its-sustainability-efforts,PR,No,Yes,"CDP, SBTi"
Fermenich,46.23305800,6.05569200,"$4,024,893,600",2050,"In Policy Document",Yes,No,Yes,No,https://www.firmenich.com/en_INT/company/news/firmenich-joins-the-business-ambition.html,PR,No,No,"CDP, SBTi"
Vestas,56.19990000,10.16600000,"$13,374,865,800",2030,"In Policy Document",Yes,Yes,Yes,"Unclear or Undecided",https://www.vestas.com/en/about/sustainability,PR,No,Yes,"CDP, SBTi"
Vattenfall,59.36890000,18.00840000,"$17,330,952,264",2050,"In Policy Document",Yes,No,Yes,"Unclear or Undecided",https://group.vattenfall.com/what-we-do/roadmap-to-fossil-freedom/co2-roadmap,PR,No,No,"CDP, SBTi"
"Sopra Steria",48.52659000,2.17190200,"$4,507,720,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.soprasteria.com/docs/librariesprovider2/publications-rse/corporate-responsibility-report-en-2019.pdf?sfvrsn=edcb21dc_6,PR,No,No,"CDP, SBTi"
Volkswagen,52.42270000,10.78650000,"$280,253,385,000",2050,"In Policy Document",No,No,No,No,http://newsroom.vw.com/vehicles/what-becoming-carbon-neutral-means-to-volkswagen-and-why-its-the-only-way-forward/,PR,No,No,
HSBC,51.50800000,-0.01940000,"$86,131,000,000",2005,Achieved,No,No,No,No,https://www.banktrack.org/download/carbon_neutrality_plan/080206_hsbc_and_carbon_neutrality_feb_2008.pdf,PR,No,Yes,
"Électricité de France",48.88066520,2.30004510,"$81,403,300,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,"Unclear or Undecided",https://www.edfenergy.com/about/sustainability-the-better-plan/ambitions/environment,PR,No,Yes,"CDP, SBTi"
"Swiss Re",47.37688660,8.54169400,"$37,047,000,000",2030,"In Policy Document",Yes,No,Yes,No,https://www.swissre.com/media/news-releases/nr-20200220-swiss-re-takes-further-steps-towards-net-zero-emissions.html,PR,No,Yes,"CDP, SBTi"
Intuit,37.38605170,-122.08385110,"$5,960,000,000",2030,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://www.intuit.com/company/press-room/press-releases/2019/intuit-announces-50x-climate-positive-target-at-united-nations-climate-action-summit/,PR,Yes,No,"CDP, SBTi"
